OID,Area_m,Area_km,Area_Proportion,State,Beaver_Dam,Pixel_count,RdNBR_mean,RdNBR_SD,Open_water
80,1667.001339,0.001667001,0.017085739,E,N,2,1137.764648,35.21826172,
85,1649.537558,0.001649538,0.016906746,E,N,2,1018.238831,48.67230225,
89,1309.758189,0.001309758,0.013424217,E,N,2,1145.934814,11.73010254,
94,2150.33526,0.002150335,0.022039615,E,N,2,1260.460632,44.69793701,
96,1881.125631,0.001881126,0.019280382,E,N,2,1053.308472,5.209594727,
97,1006.015409,0.001006015,0.01031104,E,N,2,1084.108276,65.15856934,
104,917.7779704,0.000917778,0.00940666,E,N,2,772.0621338,9.200622559,
112,2316.929246,0.002316929,0.023747101,E,N,2,714.70401,7.671234131,
128,1055.19352,0.001055194,0.010815085,E,N,2,1060.038544,53.88088989,
3,1388.677087,0.001388677,0.014233087,E,N,1,423.8380127,0,
13,818.9398182,0.00081894,0.00839363,E,N,1,542.4172363,0,
18,1564.512517,0.001564513,0.016035292,E,N,1,476.7340393,0,
23,1567.76329,0.001567763,0.01606861,E,N,1,529.4376831,0,
36,1130.156932,0.001130157,0.011583414,E,N,1,691.9366455,0,
49,719.1875954,0.000719188,0.007371231,E,N,1,617.2763062,0,
55,1312.256548,0.001312257,0.013449823,E,N,1,771.7215576,0,
62,637.4945575,0.000637495,0.006533928,B,N,1,913.5405884,0,
68,738.5970345,0.000738597,0.007570166,E,N,1,1193.442627,0,
69,351.3071243,0.000351307,0.003600682,E,N,1,704.2409058,0,
71,1121.363131,0.001121363,0.011493283,E,N,1,556.7952271,0,
72,697.7986364,0.000697799,0.007152007,A,Y,1,272.8289185,0,
92,1127.953557,0.001127954,0.011560831,E,N,1,506.0820618,0,
99,1385.300128,0.0013853,0.014198475,E,N,1,1107.914429,0,
100,1918.376802,0.001918377,0.019662183,E,N,1,1147.314453,0,
108,1412.657528,0.001412658,0.014478872,E,N,1,996.2525635,0,
129,655.7333391,0.000655733,0.006720864,E,N,1,1018.101074,0,
131,1407.378665,0.001407379,0.014424767,E,N,1,1237.42749,0,
139,1141.60112,0.001141601,0.01170071,A,Y,1,938.4351807,0,
